Page/Route,Title Tag,Meta Description,H1,Title Length,Meta Length,Notes
"Global Default (index.html)","Hidayyah Islamic Fashion | Abayas, Hijabs & Modest Wear","Shop authentic Islamic clothing and explore hijab & abaya style guides. Premium modest fashion with worldwide shipping.",N/A,59,134,"Fallback for routes without Helmet"
"Homepage (/)","Hidayyah Islamic Fashion | Abayas, Hijabs & Modest Wear","Shop authentic Islamic clothing and explore hijab & abaya style guides. Premium modest fashion with worldwide shipping.","Discover Authentic Islamic Fashion",59,134,"Shop-focused version"
"Blog Home (/blog)","Islamic Fashion Blog | Hijab & Abaya Style Guides | Hidayyah","Explore Islamic fashion trends, hijab tutorials, and modest wear styling tips. Expert guides for abayas, hijabs, and traditional Islamic clothing.","Islamic Fashion & Style Guide Blog",60,152,"Blog listing page"
"Abaya Article (/blog/what-is-an-abaya)","What is an Abaya? Islamic Modest Wear Guide | Hidayyah","Learn what an abaya is, its cultural role in modest fashion, popular styles, and whether non-Muslims can wear one respectfully.","What is an Abaya? Understanding Islamic Modest Wear",56,135,"Blog article - optimized"
"Men's Wear Article (/blog/what-do-muslim-men-wear)","What Do Muslim Men Wear? Traditional Islamic Clothing Guide | Hidayyah","Discover traditional Islamic clothing for men including thobes, kufis, and jalabiya. Complete guide to modest Muslim menswear and cultural significance.","What Do Muslim Men Wear? Traditional Islamic Clothing Guide",70,153,"Blog article - aligned title/H1"
"Shop Coming Soon (/shop)","Islamic Clothing Store Coming Soon | Hidayyah","Our curated Islamic fashion store is launching soon. Sign up for exclusive early access to premium abayas, hijabs, and modest wear collections.","Islamic Fashion Store Coming Soon",44,152,"Pre-launch page"
"Products Page (/products)","Islamic Products | Modest Fashion & Accessories | Hidayyah","Browse our collection of Islamic products including modest fashion, prayer accessories, and traditional Islamic items for the whole family.","Islamic Products & Accessories",59,145,"Product listing"
"Dynamic Men's Categories (/products/men/*)","Dynamic: Men's [Category] | Islamic Clothing | Hidayyah","Dynamic: Discover authentic men's [category] with traditional Islamic styling. Premium quality modest wear for the modern Muslim man.","Dynamic: Men's [Category]","~50-60","~130-140","Generated via SEO utils"
"Dynamic Women's Categories (/products/women/*)","Dynamic: Women's [Category] | Islamic Fashion | Hidayyah","Dynamic: Shop beautiful women's [category] combining traditional Islamic values with contemporary modest fashion trends.","Dynamic: Women's [Category]","~55-65","~130-140","Generated via SEO utils"
"Dynamic Kids Categories (/products/kids/*)","Dynamic: Kids [Category] | Islamic Children's Wear | Hidayyah","Dynamic: Adorable Islamic [category] for children. Comfortable, modest, and stylish clothing that grows with your little ones.","Dynamic: Kids [Category]","~55-65","~130-140","Generated via SEO utils"
"Cart (/cart)","Shopping Cart | Hidayyah","Review your Islamic fashion selections and proceed to secure checkout. Free shipping on orders over $100.","Your Shopping Cart",26,114,"E-commerce page"
"Checkout (/checkout)","Secure Checkout | Hidayyah Islamic Fashion","Complete your Islamic fashion purchase with our secure checkout. Multiple payment options and worldwide shipping available.","Secure Checkout",38,135,"E-commerce page"
"Account (/account)","My Account | Hidayyah","Manage your Hidayyah account, view order history, and update your preferences for Islamic fashion updates and exclusive offers.","My Account",22,132,"User account page"
"About (/about)","About Hidayyah | Premium Islamic Fashion","Learn about Hidayyah's mission to provide authentic, high-quality Islamic fashion that honors tradition while embracing modern style.","About Hidayyah",36,133,"Company info page"
"Contact (/contact)","Contact Us | Hidayyah Islamic Fashion","Get in touch with Hidayyah's customer service team. We're here to help with your Islamic fashion needs and questions.","Contact Us",37,124,"Contact information"
"Privacy Policy (/privacy)","Privacy Policy | Hidayyah","Read Hidayyah's privacy policy to understand how we protect your personal information and respect your privacy.","Privacy Policy",26,116,"Legal page"
"Terms of Service (/terms)","Terms of Service | Hidayyah","Review Hidayyah's terms of service for shopping, returns, and using our Islamic fashion website and services.","Terms of Service",29,114,"Legal page"
"Newsletter Admin (/newsletter-management)","Newsletter Management | Hidayyah","Manage newsletter subscribers and send updates about Islamic fashion trends and new arrivals at Hidayyah.","N/A (Admin)",34,109,"Admin page - noindex"
"404 Page","Page Not Found | Hidayyah Islamic Fashion","The page you're looking for doesn't exist. Return to Hidayyah's Islamic fashion collection and style guides.","404",42,118,"Error page - noindex"
"Hijab Style Guide (/hijab-style-guide)","Hijab Style Guide | Styling Tips & Tutorials | Hidayyah","Master hijab styling with our comprehensive guide. From classic wraps to modern turbans, learn techniques for every occasion.","Complete Hijab Style Guide",53,140,"Style guide page"
